Field,Area(ha),Slope(%),Climate,Soil,Year,Treatment,Till,SpringPFert,STP5,STP0-15cm,Crop,SWE,SnowmeltRunoff,Runoff/snow,SnowmeltSediment(mg/L),SnowmeltSedimentkg,SnowmeltDRPmg,SnowmeltDRPkg,SnowmeltTDPmg,SnowmeltTDPkg,SnowmeltTPmg,SnowmeltTPkg,SnowmeltTDPTP,Rainfall,RainfallRunoff,Runoff/Rain,RainfallSediment(mg/L),RainfallSedimentkg,RainfallDRPmg,RainfallDRPkg,RainfallTDPmg,RainfallTDPkg,RainfallTPmg,RainfallTPkg,RainfallTDPTP,AnnualPrecipitation(mm),AnnualRunoff,Runoff/Precipitation,AnnualSediment(mg/L),AnnualSedimentkg,AnnualDRP(mg/L),AnnualDRP(kg/ha),AnnualTDPmg,AnnualTDP(kg/ha),AnnualTPmg,AnnualTPkg,AnnualDissolvedPTP,Snow/Precipitation(%),Rain/Precipitation(%),SnowmeltRunoffAnnualRunoff,RainRunoffAnnualRunoff,SnowmeltSediment/AnnualSediment(%),RainfallSediment/AnnualSediment(%),SnowmeltDRP/AnnualDRP(%),RainDRP/AnnualDRP(%),SnowmeltTDP/AnnualTDP(%),RainTDP/AnnualTDP(%),SnowmeltTPAnnualTP,RainTPAnnualTP
MB1-KEN-F3,1.362,1.404958678,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Org5,na,0,14.2075,7.98,oat/pea silage,81.01,65.27,0.81,7.37,4.81,na,na,0.17,0.11,0.22,0.14,78.24,208,0,0,0,0,na,na,0,0,0,0,0,289.01,65.27,0.23,7.37,4.81,na,na,0.17,0.11,0.22,0.14,78.24,28.03,71.97,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F4,0.868,0.573770492,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Org6,na,0,6.6633,3.94,oat/pea silage,81.01,67.84,0.84,7.15,4.85,na,na,0.04,0.03,0.07,0.05,62.73,208,0,0,0,0,na,na,0,0,0,0,0,289.01,67.84,0.23,7.15,4.85,na,na,0.04,0.03,0.07,0.05,62.73,28.03,71.97,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F5,3.53,5.666666667,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2013,Org2,na,0,na,3.8,wheat,104.3,0.99,0.01,28.84,0.29,na,na,0.15,0,0.46,0,32.19,374,0,0,0,0,na,na,0,0,0,0,0,478.3,0.99,0,28.84,0.29,na,na,0.15,0,0.46,0,32.19,21.81,78.19,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F5,3.53,5.666666667,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Org2,na,0,na,3.43,peas/weeds green manure,77.5,44.78,0.58,6.82,3.06,na,na,0.35,0.16,0.38,0.17,92.78,477,65.08,0.14,11.64,7.57,na,na,0.13,0.08,0.09,0.06,100,554.5,109.85,0.2,9.67,10.63,na,na,0.22,0.24,0.21,0.23,100,13.98,86.02,40.76,59.24,28.75,71.25,na,na,65.74,34.26,74.77,25.23
MB1-KEN-F5,3.53,5.666666667,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Org2,na,0,4.29,3.05,wheat,20.82,11.58,0.56,6.91,0.8,na,na,0.17,0.02,0.22,0.03,77.62,329,0,0,0,0,na,na,0,0,0,0,0,349.82,11.58,0.03,6.91,0.8,na,na,0.17,0.02,0.22,0.03,77.62,5.95,94.05,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F6,1.1,5.1,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2013,Org1,na,0,na,3.68,wheat,77.4,10.84,0.14,107.18,11.62,na,na,0.12,0.01,0.31,0.03,38.04,374,0,0,0,0,na,na,0,0,0,0,0,451.4,10.84,0.02,107.18,11.62,na,na,0.12,0.01,0.31,0.03,38.04,17.15,82.85,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F6,1.1,5.1,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Org1,na,0,7.1,5.06,peas/weeds green manure,106.4,35.66,0.34,33.58,11.98,na,na,0.23,0.08,0.26,0.09,86.81,477,160.52,0.34,0.88,1.42,na,na,0.1,0.16,0.07,0.11,100,583.4,196.18,0.34,6.83,13.39,na,na,0.12,0.24,0.11,0.21,100,18.24,81.76,18.18,81.82,89.43,10.57,na,na,34.52,65.48,45.49,54.51
MB1-KEN-F7,6.473,4,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2013,Notill1,no,14.6741682,na,6.44,hemp,98.6,66.08,0.67,15.42,10.19,na,na,0.45,0.29,0.88,0.58,50.73,373.7,0,0,0,0,na,na,0,0,0,0,0,472.3,66.08,0.14,15.42,10.19,na,na,0.45,0.29,0.88,0.58,50.73,20.88,79.12,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F7,6.473,4,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Notill1,no,9.7827788,na,5.3,wheat,98.6,69.13,0.7,322.66,223.05,na,na,0.41,0.28,0.66,0.46,61.57,477.2,59.51,0.12,41.15,24.49,na,na,0.58,0.34,0.54,0.32,100,575.8,128.64,0.22,192.43,247.54,na,na,0.49,0.63,0.61,0.78,80.17,17.12,82.88,53.74,46.26,90.11,9.89,na,na,45.08,54.92,58.7,41.3
MB1-KEN-F7,6.473,4,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Notill1,no,14.6741682,na,5.33,hemp,44.71,34.81,0.78,3366.36,1171.88,na,na,0.39,0.27,0.71,0.49,54.47,329.1,39.28,0.12,18.08,7.1,na,na,0.01,0.01,0.02,0.01,64.48,373.81,74.09,0.2,1591.24,1178.98,na,na,0.37,0.27,0.68,0.5,54.64,11.96,88.04,46.98,53.02,99.4,0.6,na,na,97.99,2.01,98.3,1.7
MB1-KEN-F7,6.473,4,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Notill1,no,9.684951012,10.2167,5.63,wheat,26.55,14.44,0.54,20.32,2.93,na,na,0.59,0.09,0.66,0.1,89.73,454.6,14.26,0.03,11.47,1.63,na,na,0.75,0.11,0.86,0.12,88.01,481.15,28.7,0.06,15.92,4.57,na,na,0.67,0.19,0.76,0.22,88.77,5.52,94.48,50.31,49.69,64.21,35.79,na,na,44.41,55.59,43.93,56.07
MB1-KEN-F7,6.473,4,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Notill1,no,17.1198629,19.0667,4.07,canola,110.03,101.07,0.92,3.2,3.24,na,na,0.3,0.3,0.31,0.31,97.89,208,4.94,0.02,203.71,10.07,na,na,0.57,0.03,0.64,0.03,88.23,318.03,106.01,0.33,12.56,13.31,na,na,0.31,0.33,0.32,0.34,96.99,34.6,65.4,95.34,4.66,24.33,75.67,na,na,91.54,8.46,90.7,9.3
MB1-KEN-F8,5.803,3.777777778,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2013,Notill2,no,14.6741682,na,8.41,hemp,91.6,79.18,0.86,25.86,20.48,na,na,0.5,0.39,0.85,0.67,58.57,373.7,0,0,0,0,na,na,0,0,0,0,0,465.3,79.18,0.17,25.86,20.48,na,na,0.5,0.39,0.85,0.67,58.57,19.69,80.31,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F8,5.803,3.777777778,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Notill2,no,9.7827788,na,7.63,wheat,91.4,56.72,0.62,1524.78,864.79,na,na,0.44,0.25,0.86,0.49,50.64,477.2,72.16,0.15,100.1,72.23,na,na,0.57,0.41,0.56,0.4,100,568.6,128.87,0.23,727.08,937.02,na,na,0.51,0.66,0.69,0.89,74.15,16.07,83.93,44.01,55.99,92.29,7.71,na,na,37.48,62.52,54.89,45.11
MB1-KEN-F8,5.803,3.777777778,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Notill2,no,14.6741682,na,6.16,hemp,41.94,29.31,0.7,6853.17,2008.76,na,na,0.32,0.19,0.76,0.45,41.4,329.1,33.87,0.1,68.85,23.32,na,na,0.02,0.01,0.07,0.02,32.14,371.04,63.18,0.17,3216.14,2032.08,na,na,0.3,0.19,0.74,0.47,40.95,11.3,88.7,46.39,53.61,98.85,1.15,na,na,96.24,3.76,95.21,4.79
MB1-KEN-F8,5.803,3.777777778,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Notill2,no,9.684951012,8.4167,5.95,wheat,28.14,12.35,0.44,71.18,8.79,na,na,0.56,0.07,0.65,0.08,85.67,454.6,7.71,0.02,18.78,1.45,na,na,0.55,0.04,0.59,0.05,94.05,482.74,20.06,0.04,51.03,10.24,na,na,0.55,0.11,0.63,0.13,88.7,5.83,94.17,61.55,38.45,85.85,14.15,na,na,61.62,38.38,63.8,36.2
MB1-KEN-F8,5.803,3.777777778,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Notill2,no,17.1198629,12.495,5.94,canola,107.55,109.81,1.02,6.63,7.28,na,na,0.35,0.39,0.39,0.43,91.05,208,4.26,0.02,17.17,0.73,na,na,0.58,0.02,0.66,0.03,87.97,315.55,114.06,0.36,7.02,8.01,na,na,0.36,0.41,0.4,0.46,90.86,34.08,65.92,96.27,3.73,90.87,9.13,na,na,94.04,5.96,93.84,6.16
MB1-KEN-F9,5.997,3.870967742,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Notill3,no,14.6741682,na,9.75,canola,85.9,77.86,0.91,10.86,8.46,na,na,0.89,0.69,0.91,0.71,97.53,477.2,116.32,0.24,242.07,281.58,na,na,1.26,1.47,1.21,1.4,100,563.1,194.18,0.34,149.36,290.04,na,na,1.11,2.16,1.09,2.11,100,15.25,84.75,40.1,59.9,2.92,97.08,na,na,31.94,68.06,33.49,66.51
MB1-KEN-F9,5.997,3.870967742,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Notill3,no,12.2284735,na,9.03,peas,68.44,37.62,0.55,464.32,174.67,na,na,0.55,0.21,0.66,0.25,82.66,329.1,3.53,0.01,245.2,8.65,na,na,0.93,0.03,1.17,0.04,79.49,397.54,41.15,0.1,445.53,183.32,na,na,0.58,0.24,0.71,0.29,82.21,17.22,82.78,91.43,8.57,95.28,4.72,na,na,86.29,13.71,85.82,14.18
MB1-KEN-F9,5.997,3.870967742,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Notill3,no,28.21842698,23.7933,7.16,wheat,43.79,16.93,0.39,18.2,3.08,na,na,1.02,0.17,1.09,0.18,93.25,454.6,40.24,0.09,15.39,6.19,na,na,0.86,0.34,0.8,0.32,100,498.39,57.16,0.11,16.22,9.27,na,na,0.9,0.52,0.89,0.51,100,8.79,91.21,29.61,70.39,33.22,66.78,na,na,33.33,66.67,36.45,63.55
MB1-KEN-F10,2.034,3.214285714,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2013,Notill4,no,12.2284735,na,6.51,wheat,124.8,121.44,0.97,57,69.23,na,na,0.35,0.42,1.01,1.23,34.59,373.7,0,0,0,0,na,na,0,0,0,0,0,498.5,121.44,0.24,57,69.23,na,na,0.35,0.42,1.01,1.23,34.59,25.04,74.96,100,0,100,0,na,na,100,0,100,0
MB1-KEN-F10,2.034,3.214285714,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2014,Notill4,no,14.6741682,na,11.5,canola,98.15,86.65,0.88,23.63,20.48,na,na,0.81,0.7,0.89,0.77,90.67,477.2,95.02,0.2,41.24,39.18,na,na,1.29,1.22,1.46,1.39,88.05,575.35,181.67,0.32,32.84,59.66,na,na,1.06,1.92,1.19,2.16,88.98,17.06,82.94,47.7,52.3,34.32,65.68,na,na,36.4,63.6,35.72,64.28
MB1-KEN-F10,2.034,3.214285714,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2015,Notill4,no,12.2284735,na,6.78,peas,67.42,46.35,0.69,255.49,118.42,na,na,0.45,0.21,0.59,0.27,77.05,329.1,0.97,0,57.6,0.56,na,na,0.83,0.01,0.95,0.01,87.37,396.52,47.32,0.12,251.44,118.98,na,na,0.46,0.22,0.6,0.28,77.39,17,83,97.95,2.05,99.53,0.47,na,na,96.31,3.69,96.73,3.27
MB1-KEN-F10,2.034,3.214285714,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2016,Notill4,no,28.21842698,23.79,6.13,wheat,40.21,17.43,0.43,23.92,4.17,na,na,0.74,0.13,0.86,0.15,86.2,454.6,44.41,0.1,14.96,6.64,na,na,0.61,0.27,0.61,0.27,100,494.81,61.84,0.12,17.48,10.81,na,na,0.65,0.4,0.68,0.42,95.62,8.13,91.87,28.18,71.82,38.56,61.44,na,na,32.06,67.94,35.56,64.44
MB1-KEN-F10,2.034,3.214285714,Subhumid continental,"Orthic Black Chernozems, Hardin clay or Newdale clay loam",2017,Notill4,no,14.6741682,18.115,6.36,fava bean,156.48,90.06,0.58,4.66,4.2,na,na,0.53,0.48,0.62,0.55,86.82,208,52.51,0.25,65.44,34.36,na,na,0.66,0.35,1.58,0.83,42.09,364.48,142.58,0.39,27.05,38.56,na,na,0.58,0.83,0.97,1.38,60.02,42.93,57.07,63.17,36.83,10.89,89.11,na,na,57.99,42.01,40.09,59.91
MB2-CAR-F1,2.87,0.75862069,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2014,ConTill1,yes,11.05923571,na,19.25,wheat,71.43,49.21,0.69,17.15,8.44,na,na,0.7,0.35,0.89,0.44,78.79,468.3,0,0,0,0,na,na,0,0,0,0,0,539.73,49.21,0.09,17.15,8.44,na,na,0.7,0.35,0.89,0.44,78.79,13.23,86.77,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F1,2.87,0.75862069,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2015,ConTill1,yes,4.89,na,15.65,canola,35.72,6.82,0.19,16.8,1.15,na,na,0.63,0.04,0.73,0.05,85.62,424.1,12.77,0.03,8,1.02,na,na,0.5,0.06,0.6,0.08,83.33,459.82,19.6,0.04,11.06,2.17,na,na,0.54,0.11,0.65,0.13,84.24,7.77,92.23,34.82,65.18,52.87,47.13,na,na,40.04,59.96,39.39,60.61
MB2-CAR-F1,2.87,0.75862069,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2016,ConTill1,yes,7.18,19.6675,14.88,soybean,48.28,27.47,0.57,7.6,2.09,na,na,0.4,0.11,0.5,0.14,79.35,432.5,0,0,0,0,na,na,0,0,0,0,0,480.78,27.47,0.06,7.6,2.09,na,na,0.4,0.11,0.5,0.14,79.35,10.04,89.96,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F1,2.87,0.75862069,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2017,ConTill1,yes,8.902328708,18.5567,10.89,wheat,70.29,54.13,0.77,8.36,4.53,na,na,0.24,0.13,0.34,0.18,71.05,252.7,0,0,0,0,na,na,0,0,0,0,0,322.99,54.13,0.17,8.36,4.53,na,na,0.24,0.13,0.34,0.18,71.05,21.76,78.24,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F2,3.291,0.62745098,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2015,ConTill2,yes,4.89,na,10.03,canola,43.27,7.95,0.18,12.78,1.02,na,na,0.52,0.04,0.68,0.05,76.96,424.1,11.83,0.03,28.98,3.43,na,na,0.46,0.05,0.53,0.06,86.79,467.37,19.78,0.04,22.47,4.44,na,na,0.48,0.1,0.59,0.12,82.25,9.26,90.74,40.19,59.81,22.86,77.14,na,na,43.23,56.77,46.2,53.8
MB2-CAR-F2,3.291,0.62745098,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2016,ConTill2,yes,7.18,13.8825,10.47,soybean,53.7,19.84,0.37,5.24,1.04,na,na,0.37,0.07,0.42,0.08,89.66,432.5,0,0,0,0,na,na,0,0,0,0,0,486.2,19.84,0.04,5.24,1.04,na,na,0.37,0.07,0.42,0.08,89.66,11.04,88.96,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F2,3.291,0.62745098,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2017,ConTill2,yes,8.902328708,17.6733,8.93,wheat,62.74,31.57,0.5,5.63,1.78,na,na,0.15,0.05,0.22,0.07,68.67,252.7,0,0,0,0,na,na,0,0,0,0,0,315.44,31.57,0.1,5.63,1.78,na,na,0.15,0.05,0.22,0.07,68.67,19.89,80.11,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F3,2.962,1.128205128,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2014,ConTill3,yes,11.05923571,na,22.39,wheat,113.2,89.52,0.79,60.63,54.27,na,na,0.49,0.44,0.64,0.57,77.07,468.3,0,0,0,0,na,na,0,0,0,0,0,581.5,89.52,0.15,60.63,54.27,na,na,0.49,0.44,0.64,0.57,77.07,19.47,80.53,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F3,2.962,1.128205128,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2015,ConTill3,yes,4.89,16.6125,10.03,canola,46.95,20.48,0.44,4.13,0.85,na,na,0.46,0.09,0.55,0.11,83.28,424.1,29.16,0.07,37.2,10.85,na,na,0.29,0.08,0.36,0.1,80.56,471.05,49.64,0.11,23.55,11.69,na,na,0.36,0.18,0.44,0.22,81.97,9.97,90.03,41.26,58.74,7.23,92.77,na,na,52.79,47.21,51.96,48.04
MB2-CAR-F3,2.962,1.128205128,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2016,ConTill3,yes,7.18,18.03,12.37,soybean,57.42,45.05,0.78,3.82,1.72,na,na,0.33,0.15,0.41,0.18,81.27,432.5,0,0,0,0,na,na,0,0,0,0,0,489.92,45.05,0.09,3.82,1.72,na,na,0.33,0.15,0.41,0.18,81.27,11.72,88.28,100,0,100,0,na,na,100,0,100,0
MB2-CAR-F3,2.962,1.128205128,Subhumid continental,"Orthic Black Chernozems, Ramada clay loam",2017,ConTill3,yes,8.902328708,na,13.07,wheat,93.85,76.71,0.82,8.52,6.54,na,na,0.16,0.13,0.23,0.18,70.81,252.7,0,0,0,0,na,na,0,0,0,0,0,346.55,76.71,0.22,8.52,6.54,na,na,0.16,0.13,0.23,0.18,70.81,27.08,72.92,100,0,100,0,na,na,100,0,100,0
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2007,"Small grains and canola rotation, conv-till",yes,7.35,na,na,Canola,na,38.27,na,22.6,8.65,na,na,0.73,0.28,0.79,0.3,91.53,183.86,30.33,0.16,16.11,4.89,na,na,0.46,0.14,0.51,0.15,90.47,na,72.31,na,19.33,13.98,na,na,0.61,0.44,0.66,0.48,91.26,na,na,52.92,41.95,61.85,34.95,na,na,63.33,31.79,63.14,32.07
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2008,"Small grains and canola rotation, conv-till",yes,0,na,na,Wheat,na,3.04,na,17.33,0.53,na,na,0.31,0.01,0.34,0.01,91.18,na,11.36,na,4.4,0.5,na,na,0.22,0.02,0.23,0.03,92.98,na,14.4,na,7.13,1.03,na,na,0.24,0.03,0.26,0.04,92.47,na,na,21.12,78.88,51.31,48.69,na,na,28.11,71.89,28.5,71.5
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2009,"Small grains and canola rotation, conv-till",yes,0,na,na,Fall Rye,na,97.86,na,13.71,13.42,na,na,0.47,0.46,0.56,0.55,84.54,329.18,15.37,0.05,5.68,0.87,na,na,0.27,0.04,0.29,0.04,92.48,na,113.23,na,12.62,14.29,na,na,0.44,0.5,0.52,0.59,85.13,na,na,86.43,13.57,93.89,6.11,na,na,91.82,8.18,92.47,7.53
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2010,"Small grains and canola rotation, conv-till",yes,7.35,na,na,Canola,na,18.62,na,9.79,1.82,na,na,0.38,0.07,0.41,0.08,92.42,495.45,69.94,0.14,32.41,22.67,na,na,0.48,0.34,0.53,0.37,90.42,na,88.56,na,27.66,24.49,na,na,0.46,0.41,0.51,0.45,90.76,na,na,21.03,78.97,7.44,92.56,na,na,17.49,82.51,17.17,82.83
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2011,"Small grains and canola rotation, conv-till",yes,0,na,na,Wheat,na,78.5,na,69.34,54.43,na,na,0.52,0.41,0.6,0.47,86,231.14,113.93,0.49,26.88,30.63,na,na,0.64,0.73,0.71,0.81,90.56,na,192.43,na,44.2,85.06,na,na,0.59,1.14,0.67,1.28,88.88,na,na,40.79,59.21,63.99,36.01,na,na,35.61,64.39,36.8,63.2
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2012,"Small grains and canola rotation, conv-till",yes,9.8,na,na,Canola,na,7.15,na,11.92,0.85,na,na,0.97,0.07,1.09,0.08,89.6,535.44,0,0,0,0,na,na,0,0,0,0,0,na,7.15,na,11.92,0.85,na,na,0.97,0.07,1.09,0.08,89.6,na,na,100,0,100,0,na,na,100,0,100,0
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2013,"Small grains and canola rotation, conv-till",yes,0,na,na,Fall Rye,na,na,na,na,0,na,na,na,0.35,na,0.41,86.85,459.8,na,na,na,51.14,na,na,na,0.33,na,0.41,81.21,na,na,na,na,62.83,na,na,na,0.69,na,0.82,84.01,na,na,na,na,0,81.4,na,na,51.42,48.58,49.75,50.25
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2014,"Small grains and canola rotation, conv-till",yes,9.8,na,na,Canola,na,7.85,na,13.19,1.03,na,na,0.4,0.03,0.54,0.04,74.37,354.4,3.73,0.01,5.69,0.21,na,na,0.62,0.02,0.7,0.03,87.61,na,11.58,na,10.77,1.25,na,na,0.47,0.05,0.59,0.07,79.44,na,na,67.79,32.21,83,17,na,na,57.8,42.2,61.74,38.26
MB3-STC-F1,28.4,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2015,"Small grains and canola rotation, conv-till",yes,0,na,na,Fall Rye,na,20.83,na,41.02,8.54,0.53,0.11,0.6,0.13,0.71,0.15,85.05,420.5,10.55,0.03,8.34,0.88,0.23,0.02,0.27,0.03,0.3,0.03,87.64,na,31.38,na,30.03,9.42,0.43,0.13,0.49,0.15,0.57,0.18,85.51,na,na,66.37,33.63,90.66,9.34,81.98,18.02,81.71,18.29,82.15,17.85
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2007,"Small grains and canola rotation, conv-till",yes,17.69921349,na,na,Oats,na,36.08,na,11.56,4.17,na,na,0.76,0.27,0.83,0.3,91.76,183.86,33.98,0.18,31.45,10.69,na,na,0.23,0.08,0.27,0.09,86.39,na,83.9,na,19.68,16.51,na,na,0.5,0.42,0.56,0.47,90.6,na,na,43,40.5,25.25,64.72,na,na,64.74,18.72,63.93,19.63
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2008,"Small grains and canola rotation, conv-till",yes,11.78824845,na,na,Fall Rye,na,12.42,na,5.27,0.66,na,na,0.3,0.04,0.32,0.04,94.04,na,14.2,na,3.77,0.54,na,na,0.24,0.03,0.27,0.04,89.97,na,26.62,na,4.47,1.19,na,na,0.27,0.07,0.29,0.08,92.06,na,na,46.66,53.34,55.03,44.97,na,na,52.48,47.52,51.38,48.62
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2009,"Small grains and canola rotation, conv-till",yes,9.204617855,na,na,Canola,na,104.09,na,10.3,10.72,na,na,0.44,0.45,0.48,0.5,90.53,329.18,11.98,0.04,3.74,0.45,na,na,0.25,0.03,0.27,0.03,91.78,na,116.07,na,9.62,11.17,na,na,0.42,0.48,0.46,0.53,90.6,na,na,89.68,10.32,95.99,4.01,na,na,93.89,6.11,93.96,6.04
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2010,"Small grains and canola rotation, conv-till",yes,2.445,na,na,Wheat,na,47.35,na,9.79,4.64,na,na,0.44,0.21,0.47,0.22,94.9,495.45,64.93,0.13,30.94,20.09,na,na,0.29,0.19,0.34,0.22,84.37,na,112.28,na,22.02,24.72,na,na,0.36,0.4,0.4,0.45,89.61,na,na,42.17,57.83,18.75,81.25,na,na,52.71,47.29,49.77,50.23
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2011,"Small grains and canola rotation, conv-till",yes,3.59,na,na,Canola,na,82.31,na,12.1,9.96,na,na,0.4,0.33,0.43,0.35,94.17,231.14,98.73,0.43,19.12,18.87,na,na,0.33,0.32,0.37,0.37,88.23,na,181.05,na,15.93,28.84,na,na,0.36,0.66,0.4,0.72,91.13,na,na,45.47,54.53,34.55,65.45,na,na,50.5,49.5,48.87,51.13
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2012,"Small grains and canola rotation, conv-till",yes,8.126164354,na,na,Fall Rye,na,17.04,na,11.17,1.9,na,na,0.84,0.14,0.93,0.16,90.17,535.44,0,0,0,0,na,na,0,0,0,0,0,na,17.04,na,11.17,1.9,na,na,0.84,0.14,0.93,0.16,90.17,na,na,100,0,100,0,na,na,100,0,100,0
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2013,"Small grains and canola rotation, conv-till",yes,2.445,na,na,Canola,na,na,na,na,0,na,na,na,0.43,na,0.47,90.75,459.8,na,na,na,73.42,na,na,na,0.37,na,0.44,83.43,na,na,na,na,93.72,na,na,Misisng value,0.8,na,0.92,87.19,na,na,na,na,0,78.34,na,na,53.5,46.5,51.4,48.6
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2014,"Small grains and canola rotation, conv-till",yes,8.49,na,na,Flax/Linola,na,26.34,na,30.34,7.99,na,na,0.43,0.11,0.51,0.13,84.13,354.4,28.84,0.08,70.19,20.24,na,na,0.16,0.05,0.15,0.04,100,na,55.18,na,51.17,28.23,na,na,0.29,0.16,0.32,0.18,88.5,na,na,47.73,52.27,28.3,71.7,na,na,71.29,28.71,74.99,25.01
MB3-STC-F2,28,<5,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2015,"Small grains and canola rotation, conv-till",yes,4.451164354,na,na,Canola,na,6.42,na,24.89,1.6,0.51,0.03,0.57,0.04,0.63,0.04,89.63,420.5,10.63,0.03,16.28,1.73,0.15,0.02,0.16,0.02,0.19,0.02,86.02,na,17.05,na,19.52,3.33,0.29,0.05,0.31,0.05,0.35,0.06,88.45,na,na,37.63,62.37,47.99,52.01,67.14,32.86,68.15,31.85,67.26,32.74
MB3-STC-F3,8.33,3.99,Subhumid continental,Dark Gray Chernozems (Mollisols) clay loam,2010,"Perennial forage, no till",no,0,26.47058824,20.59,Alfalfa Hay,88.1,63.79,0.72,14.54,9.27,na,na,1.57,1,1.69,1.08,92.83,495.45,0,0,0,0,na,na,0,0,0,0,0,583.55,63.79,0.11,14.54,9.27,na,na,1.57,1,1.69,1.08,92.83,15.1,84.9,100,0,100,0,na,na,100,0,100,0
